,,Product Code,Private Hospi Alex,Private Hospi Cairo,Private Hospi Del2,Private Hospi Giza,Private Hospi Upper,Key Accounts W Cairo,Key Accounts W Giza,ك.عملاء اسكندرية 1,ك.عملاء اسكندرية2,ك.عملاء مطروح واسكن3,ك.عملاء  البحيرة 1,ك.عملاء البحيرة 2,ك.عملاء شرق القاهرة1,ك.عملاء القناة,ك.عملاء وسط البلد,October K.Acc,ك.عملاء فبصل والهرم,ك.عملاء امبابة,Helwan K.Acc,ك.عملاء شرق القاهرة2,ك.ع.م.نصر وهليوبليس,ك.عملاء المنوفية, ك.عملاء الغربية 1,ك.عملاء كفر الشيخ,ك.عملاء الدقهلية 1,ك.ع.الدقهلية2 ودمياط,ك.عملاء الشرقية,ك.عملاء القليوبية, ك.عملاء الغربية 2,ك.عملاء اسيوط,ك.عملاء اسوان,ك.ع.بنى سويف والفيوم,ك.عملاء المنيا,ك.عملاء قنا,ك.عملاء سوهاج,ك.عملاء سوهاج وقنا,ك.ع.المنيا واسيوط,ك.ع.الاقصر والغردقة,Retail  Al-Falaky,Retail Al-Qabary,Retail Nasria,Retail Damanhour 2,Retail Damanhour 3,Retail Mina Al-Basal,Retail Miami,Retail Al-Qabary 2,Retail Almaza 1,Retail Nasr Al-Deen,Retail Imbaba,Retail October,Retail Al-Fayoum,Retail SUEZ,Retail Al-Matarya,Retail Almaza 2,Retail Ein Shams 1,Retail Mostorod,Retail Road Al-Farag,Retail Ein Shams 2,Re Khatem Morsalin,Retail Helwan,Retail Helwan 2,Retail Damanhour,Retail Tanta,Retail Al-Mahala 2,Retail Kafr Al-Zayat,Retail Mansora,Retail Mansora 2,Retail Dekernes,Retail Domiat,Retail Shebin,Retail Al-Zagazik,Retail Fakous,Retail Banha 1,Retail Banha 2,Retail Berka Sabe,Retail Al-Mahala,Retail Tanta 2,RETAIL Monof,Retail Kafr AlZayat2,Retail Al-Zagazik 2,Retail Port-Said,Retail Bani Sueaf,Retail Al-Menia 2,Retail Mallawi,Retail Assuit 3,Retail Assuit 2,Retail El- Kwamel,Retail Sohag,Retail Qena,Retail EL-Balina,Retail Luxor,Retail Aswan,Retail Al-Menia,Retail Hurghada,Retail Ngaa Hammadi,Super KA Alex,Super KA Cairo,Super KA Delta,Super KA Giza,Super KA Canal,Key Acc. W Shebien,Key Acc. W Bani Suwa,Key Acc. W Qabary,Key Acc. W Kafr Elza,Key Acc. W Zakazik,Key Acc. W Menya,Key Acc. W Assiut,Key Acc. W Sohag,Key Acc. W Luxor,Super KA. W Giza,Super KA. W Delta1,Super KA. W Delta2,Super KA. W Delta3,Total,Total Bonus
,ديبافالى بلس 50-1000 مجم 28 قرص,24197,11,2,20,50,1,"2,800",4,34,22,23,18,24,7,1,51,18,17,13,8,5,33,6,13,5,17,36,15,13,"1,512",10,17,49,41,2,16,4,10,7,5,7,31,11,4,16,3,3,7,4,6,3,5,3,4,6,7,4,1,,1,5,3,16,6,14,6,3,4,8,13,1,3,1,10,6,12,2,4,5,15,1,1,6,17,3,5,2,6,4,,,2,1,4,2,1,188,32,"1,063",-407,9,,40,-20,"2,230",,,,300,,0,,,,"8,693","1,579"
,,,"1,452.00",264.00,"2,640.00","7,920.00",132.00,"480,480.00",528.00,"4,488.00","2,904.00","3,036.00","27,720.00","3,168.00",924.00,132.00,"7,260.00","2,376.00","2,244.00","1,716.00","1,056.00",660.00,"4,488.00",792.00,"1,716.00",660.00,"2,244.00","4,752.00","1,980.00","1,716.00","217,008.00","1,320.00","2,244.00","6,468.00","5,412.00",264.00,"2,112.00",528.00,"1,320.00",924.00,660.00,924.00,"4,092.00","1,452.00",528.00,"2,112.00",396.00,396.00,924.00,528.00,792.00,396.00,660.00,396.00,528.00,792.00,924.00,528.00,132.00,,132.00,660.00,396.00,"2,112.00",792.00,"1,848.00",792.00,396.00,528.00,"1,056.00","1,716.00",132.00,396.00,132.00,"1,320.00",792.00,"1,584.00",264.00,528.00,660.00,"1,980.00",132.00,132.00,792.00,"2,244.00",396.00,660.00,264.00,792.00,528.00,,,264.00,132.00,528.00,264.00,132.00,"28,776.00","4,224.00","140,316.00","-53,724.00","1,188.00",,"5,280.00",0.00,"330,660.00",,,,"49,500.00",,0.00,,,,"1,355,904.00",
,ريوبانوكس 300 قرص للمضغ 100 شريط,42863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,052.63",,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,105.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,157.90",
,ريوبانوكس شراب 160 مل نعناع,42193,2,5,105,5,,,,13,5,12,11,12,4,12,4,24,4,21,13,1,,20,61,4,2,3,1,18,59,101,93,-122,88,17,81,85,22,51,4,1,8,15,1,5,1,1,,3,,4,7,,1,,1,,1,,4,2,1,7,6,2,2,2,,12,,13,,,9,8,39,12,6,25,10,,,4,11,9,11,18,5,25,9,11,12,8,,5,4,204,3,107,153,20,,100,,,,,,,,,,,,"1,769",300
,,,168.42,421.06,"8,926.37",505.27,,,,"1,178.95",421.06,"1,094.74","1,094.74","1,094.74",336.84,"1,178.95",336.84,"2,442.12",336.84,"2,021.06","1,263.17",84.21,,"2,021.06","5,305.29",336.84,168.42,252.63,84.21,"1,600.01","5,473.72","10,273.74","9,179.00","-6,231.52","9,179.00","1,515.80","7,831.62","8,252.68","2,105.28","4,884.24",336.84,84.21,673.69,"1,347.38",84.21,421.06,84.21,84.21,,252.63,,336.84,673.69,,84.21,,84.21,,84.21,,336.84,168.42,84.21,589.48,505.27,168.42,168.42,168.42,,"1,094.74",,"1,347.38",,,757.90,673.69,"3,621.07","1,094.74",505.27,"2,273.70",926.32,,,336.84,"1,010.53",757.90,926.32,"1,600.01",421.06,"2,442.12",842.11,926.32,"1,010.53",673.69,,421.06,336.84,"21,810.65",252.63,"9,263.21","17,010.62","2,021.06",,"11,789.54",,,,,,,,,,,,"178,106.36",
,زوركال 20 مجم 14 قرص,17619,4,20,,20,5,,,7,23,41,29,19,8,19,4,55,24,25,25,23,30,11,15,76,14,63,16,16,16,44,36,23,49,35,56,42,38,49,9,,12,30,18,26,1,5,3,1,5,3,12,10,1,8,13,5,1,5,8,4,3,38,10,11,5,8,3,14,15,6,1,13,12,10,27,8,6,16,8,2,,22,12,19,34,24,23,9,14,17,11,16,7,12,19,106,22,25,144,39,,200,,,,,"1,000",,,,,,,"3,151",594
,,,231.00,"1,386.00",,"1,386.00",288.75,,,404.25,"1,262.25","2,400.75","1,905.75","1,097.25",462.00,"1,212.75",231.00,"3,522.75","1,501.50","1,559.25","1,559.25","1,443.75","1,848.00",635.25,866.25,"5,428.50",808.50,"3,869.25","1,039.50","1,039.50",924.00,"2,772.00","2,194.50","1,443.75","3,060.75","2,310.00","3,349.50","2,541.00","2,425.50","3,176.25",519.75,,693.00,"1,963.50","1,039.50","1,501.50",57.75,288.75,173.25,57.75,288.75,173.25,693.00,577.50,57.75,462.00,750.75,288.75,57.75,288.75,462.00,231.00,173.25,"2,425.50",577.50,635.25,288.75,462.00,173.25,808.50,866.25,346.50,57.75,750.75,693.00,577.50,"1,674.75",462.00,346.50,924.00,462.00,115.50,,"1,270.50",693.00,"1,097.25","2,079.00","1,501.50","1,328.25",519.75,808.50,"1,097.25",635.25,924.00,404.25,693.00,"1,097.25","7,161.00","1,270.50","1,674.75","9,817.50","2,483.25",,"15,592.50",,,,,"78,828.75",,,,,,,"216,009.75",
,زوركال 40 مجم 1 فيال وريدى,13780,"9,563","7,850","12,829","20,160","5,586",,,,,,,685,,,,,,,,,,,100,970,360,40,,,,850,100,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,120,450,63,,,,,6,,,,,,300,80,,5,,,,,,,,,,,,,,200,,,,,"1,500",500,,,,,,,,,,,,,,,"62,417",651
,,,"588,124.50","482,775.00","788,983.50","1,279,876.50","343,539.00",,,,,,,"42,127.50",,,,,,,,,,,"6,150.00","59,655.00","22,140.00","2,460.00",,,,"52,275.00","6,150.00",,,,,,"6,150.00",,,,,,,,,,,,,,,,,,,,,,,,,,"7,380.00","27,675.00","3,874.50",,,,,369.00,,,,,,"18,450.00","4,920.00",,307.50,,,,,,,,,,,,,,"12,300.00",,,,,"92,250.00","30,750.00",,,,,,,,,,,,,,,"3,878,682.00",
,زوركال 40 مجم 14 قرص,16543,59,35,113,81,470,,,211,144,211,177,545,91,115,114,38,83,156,93,58,80,246,250,655,158,"1,604",60,175,100,"1,048",402,120,162,115,237,416,208,143,111,37,99,139,207,218,19,16,32,18,21,29,55,69,11,14,28,25,13,9,43,26,21,280,87,162,105,31,68,161,323,36,6,10,109,104,96,185,85,50,51,4,8,43,25,40,159,96,134,86,118,71,47,78,22,123,60,"2,545",478,"4,125","15,670",105,,"1,000",42,"5,000",,"5,000","4,000","2,000",,"1,000",,"19,000",,"73,261","9,950"
,,,"4,159.50","2,538.00","8,460.00","5,922.00","37,012.50",,,"15,580.50","10,222.50","15,157.50","12,690.00","39,832.50","6,486.00","8,248.50","8,248.50","2,679.00","5,992.50","11,068.50","6,627.00","4,089.00","5,710.50","18,189.00","18,118.50","50,196.00","11,491.50","113,364.00","4,230.00","12,690.00","7,261.50","82,767.00","29,398.50","8,812.50","11,491.50","8,107.50","19,317.00","30,315.00","15,510.00","10,222.50","7,896.00","2,679.00","6,979.50","9,799.50","14,805.00","16,144.50","1,339.50","1,128.00","2,256.00","1,269.00","1,480.50","2,044.50","3,948.00","4,935.00",775.50,987.00,"1,974.00","1,762.50",916.50,634.50,"3,031.50","1,833.00","1,480.50","19,951.50","6,133.50","12,549.00","7,473.00","2,185.50","4,864.50","11,421.00","24,252.00","2,538.00",423.00,705.00,"7,755.00","7,332.00","6,768.00","13,747.50","6,063.00","3,525.00","3,595.50",282.00,564.00,"3,031.50","1,762.50","2,820.00","11,280.00","6,768.00","9,447.00","6,063.00","8,460.00","5,076.00","3,313.50","5,499.00","1,551.00","8,883.00","4,230.00","222,709.50","36,166.50","291,165.00","1,484,941.50","7,473.00",,"84,600.00","3,102.00","408,900.00",,"423,000.00","338,400.00","169,200.00",,"84,600.00",,"1,339,500.00",,"5,866,375.50",
,زوركال 40 مجم 28 قرص,16544,33,48,34,239,38,,,95,56,21,9,86,52,68,84,300,52,60,38,56,236,53,166,563,370,106,31,34,48,807,46,46,58,38,60,29,18,57,34,11,62,73,83,39,10,24,13,10,6,40,18,15,20,62,29,21,42,12,62,16,15,70,111,365,95,24,15,63,54,30,20,23,11,42,46,220,83,22,34,18,2,45,32,28,20,38,30,24,23,9,18,10,17,26,23,535,255,"1,500","3,832",191,,,,,,,250,,,200,,,,"13,306","2,084"
,,,"4,794.00","7,050.00","4,935.00","38,070.00","5,358.00",,,"13,818.00","7,896.00","2,961.00","1,269.00","12,408.00","7,332.00","9,729.00","11,985.00","47,094.00","7,473.00","8,601.00","5,358.00","7,896.00","36,378.00","7,473.00","25,098.00","88,971.00","54,567.00","15,228.00","4,371.00","4,794.00","6,909.00","136,629.00","6,627.00","6,627.00","8,178.00","5,358.00","8,601.00","4,089.00","2,538.00","8,037.00","4,794.00","1,551.00","8,883.00","10,434.00","11,844.00","5,499.00","1,410.00","3,384.00","1,833.00","1,410.00",846.00,"5,781.00","2,538.00","2,115.00","2,820.00","8,883.00","4,089.00","2,961.00","6,063.00","1,692.00","8,742.00","2,256.00","2,115.00","10,011.00","16,497.00","56,118.00","13,818.00","3,384.00","2,115.00","8,883.00","7,755.00","4,230.00","2,820.00","3,243.00","1,551.00","5,922.00","6,486.00","33,417.00","11,985.00","3,102.00","4,794.00","2,538.00",282.00,"6,345.00","4,512.00","3,948.00","2,820.00","5,358.00","4,230.00","3,384.00","3,243.00","1,269.00","2,538.00","1,410.00","2,397.00","3,666.00","3,243.00","89,112.00","36,942.00","238,995.00","716,844.00","28,200.00",,,,,,,"42,300.00",,,"33,840.00",,,,"2,169,990.00",
,سانسو اميون 200 مل,25736,,-6,,,,,,3,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,5,,,,,,,,,,,,,,,62,0
,,,,-631.56,,,,,,276.32,736.84,947.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,157.86",,,,,276.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,671.05",,,526.30,,,,,,,,,,,,,,,"5,960.46",
,سانسو اميون بلس 140 مل,52670,,30,,25,,,,26,62,110,81,120,108,140,47,113,64,52,22,201,34,50,38,11,45,159,23,36,116,3,58,63,125,33,15,96,57,112,29,6,76,50,52,35,38,1,6,5,14,56,10,29,12,25,2,10,3,12,32,8,16,22,26,15,7,20,64,43,40,15,9,18,44,66,36,22,28,28,12,6,15,14,11,41,12,9,,28,7,23,,7,9,31,28,158,149,115,85,66,,,1,,,,,,,,,,,"4,132",54
,,,,"2,947.52",,"2,302.75",,,,"2,394.86","5,710.82","10,132.10","7,460.91","11,053.20","10,132.10","12,895.40","4,329.17","10,408.43","5,895.04","4,973.94","2,026.42","18,514.11","3,131.74","4,605.50","3,500.18","1,013.21","4,144.95","14,829.71","2,118.53","3,315.96","10,684.76",276.33,"5,342.38","6,171.37","11,605.86","3,039.63","1,381.65","8,842.56","5,250.27","10,316.32","2,671.19",552.66,"7,000.36","4,605.50","4,789.72","3,223.85","3,500.18",92.11,552.66,460.55,"1,289.54","5,342.38",921.10,"2,671.19","1,105.32","2,302.75",184.22,921.10,276.33,"1,105.32","2,947.52",736.88,"1,473.76","2,026.42","2,394.86","1,381.65",644.77,"1,842.20","5,895.04","3,960.73","3,684.40","1,381.65",828.99,"1,657.98","4,052.84","6,079.26","3,315.96","2,026.42","2,579.08","2,579.08","1,105.32",552.66,"1,381.65","1,289.54","1,013.21","4,144.95","1,105.32",828.99,,"2,579.08",644.77,"2,118.53",,644.77,828.99,"3,039.63","2,579.08","15,935.03","14,000.72","10,592.65","9,211.00","6,079.26",,,92.11,,,,,,,,,,,"385,572.46",
,سانسو انتى اوكسيدنت 28 قرص,47025,-6,,,,,,,22,2,2,4,7,2,3,11,8,2,,4,,2,9,6,6,2,5,,5,2,61,4,3,9,15,5,4,5,16,3,,3,2,,2,1,2,,,2,,,,,4,3,,1,,2,,3,3,,2,,,3,13,,5,,,2,4,11,,1,5,4,1,1,2,5,,,,2,1,1,2,3,0,2,2,1,19,15,20,22,,,,,,,,,,,,,,,400,13
,,,"-1,010.52",,,,,,,"3,873.66",336.84,336.84,673.68,"1,178.94",336.84,505.26,"2,189.46","1,347.36",336.84,,673.68,,336.84,"1,515.78","1,010.52","1,010.52",336.84,842.10,,842.10,336.84,"10,442.04",673.68,505.26,"1,515.78","2,694.72",842.10,673.68,842.10,"2,694.72",505.26,,505.26,336.84,,336.84,168.42,336.84,,,336.84,,,,,673.68,505.26,,168.42,,336.84,,505.26,505.26,,336.84,,,505.26,"2,189.46",,842.10,,,336.84,673.68,"1,852.62",,168.42,842.10,673.68,168.42,168.42,336.84,842.10,,,,336.84,168.42,168.42,336.84,505.26,0.00,336.84,336.84,168.42,"3,368.40","2,526.30","4,042.08","4,210.50",,,,,,,,,,,,,,,"69,557.46",
,سانسو او ار اس شراب 237 مل باندل 5+1,42055,,,,,,,,,1,,,,1,,,,,,,2,1,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0
,,,,,,,,,,,280.70,,,,280.70,,,,,,,561.40,280.70,,,,0.00,,,,,,,280.70,,,,,,,,,,,,,,,,,,,,,,,280.70,561.40,,,280.70,,,,,,,,,,,,,,,,,,,,,,,,561.40,280.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,649.13",
,سانسو اوميجا شراب 200 مل,36318,,,,302,,,,3,10,12,3,2,18,9,24,27,30,16,6,13,30,1,3,4,0,34,,9,1,14,59,34,10,15,28,70,7,27,3,5,3,3,,3,2,2,6,8,7,9,11,8,6,5,10,8,5,,11,3,1,3,1,1,,3,3,20,9,2,,3,,15,7,1,3,10,2,,,4,13,7,6,6,11,11,4,8,2,,0,1,14,85,88,45,128,17,,,,,,,,,,,,,"1,032","2,505",171
,,,,,,"50,779.03",,,,378.95,"1,263.16","1,515.79",378.95,252.63,"2,273.69","1,136.84","3,031.58","2,792.99","3,789.48","2,021.06",757.90,"1,642.11","4,168.43",126.32,378.95,505.26,28.07,"4,673.69",,"1,136.84",126.32,"2,147.37","7,831.59","4,926.32","1,263.16","1,894.74","3,536.85","8,842.12",884.21,"3,410.53",378.95,631.58,378.95,378.95,,378.95,252.63,252.63,757.90,"1,010.53",884.21,884.21,"1,389.48","1,010.53",757.90,631.58,"1,263.16","1,010.53",631.58,,"1,389.48",378.95,126.32,378.95,126.32,126.32,,378.95,378.95,"2,905.27","1,136.84",252.63,,378.95,,"1,894.74",884.21,126.32,378.95,"1,263.16",252.63,,,505.26,"1,642.11",884.21,757.90,757.90,"1,389.48","1,389.48",505.26,"1,010.53",252.63,,0.00,126.32,"1,768.42","12,757.92","12,631.60","6,063.17","18,442.14","2,091.23",,,,,,,,,,,,,"130,358.11","336,870.75",
,سانسو برجنا بلس 28 قرص,33882,,,,,,,,1,-20,8,,2,2,2,,,2,,2,4,5,,1,,,,,,2,,,13,,,,,2,,1,1,1,1,3,,,1,,,,1,2,,,3,,,,,,,,2,,,2,,,,1,,,,,,,,,,,,1,2,,3,,1,,,,,,,,1,,2,3,1,3,-2,,,150,,,,,,,,,,,210,0
,,,,,,,,,,154.39,"-3,087.72","1,235.09",,308.77,308.77,308.77,,,308.77,,308.77,617.54,771.93,,154.39,,,,,,308.77,,,"2,007.02",,,,,308.77,,154.39,154.39,154.39,154.39,463.16,,,154.39,,,,154.39,308.77,,,463.16,,,,,,,,308.77,,,308.77,,,,154.39,,,,,,,,,,,,154.39,308.77,,463.16,,154.39,,,,,,,,154.39,,308.77,463.16,154.39,463.16,-308.77,,,"23,157.90",,,,,,,,,,,"32,421.06",
,سانسو برونشى شراب 100 مل,28993,30,,,,,,300,1,,4,,,,,,10,,2,13,,11,,,1,47,,1,1,100,20,,1,4,2,,8,58,1,3,,101,,,2,,,,,,,161,,2,,2,,,2,,,,,1,50,10,11,2,13,4,,,,,,,100,413,2,,,,,,12,,,,,,2,,,163,,21,3,,30,3,,,,,,200,500,,,,,,,,"2,428",159
,,,"1,684.20",,,,,,"16,842.00",56.14,,224.56,,,,,,729.82,,112.28,842.10,,785.96,,,56.14,"3,199.98",,56.14,56.14,"5,614.00","1,403.50",,56.14,224.56,112.28,,449.12,"5,108.74",56.14,168.42,,"5,670.14",,,112.28,,,,,,,"9,038.54",,112.28,,112.28,,,112.28,,,,,56.14,"2,807.00",561.40,617.54,112.28,729.82,224.56,,,,,,,"5,614.00","23,185.82",112.28,,,,,,673.68,,,,,,112.28,,,"9,150.82",,"1,178.94",168.42,,"1,852.62",168.42,,,,,,"16,842.00","28,070.00",,,,,,,,"145,234.18",
,سانسو بوتاسيوم 200 مجم 28 قرص,37881,3,,6,25,,,,33,15,14,49,37,3,8,26,18,2,35,4,10,43,7,16,2,2,32,8,8,23,10,,28,51,2,5,4,11,13,1,2,6,8,9,12,2,2,4,3,1,6,9,21,3,4,4,2,5,3,3,,1,40,8,8,2,1,4,1,16,,,,2,,7,3,,1,3,2,,7,4,2,,,,,1,,,0,3,,,68,25,74,13,24,,,,,,,,,,,,,,983,18
,,,252.63,,505.27,"2,105.28",,,,"2,778.96","1,263.17","1,178.95","4,126.34","3,115.81",252.63,673.69,"2,189.49","1,515.80",168.42,"3,284.23",336.84,842.11,"3,621.07",589.48,"1,347.38",168.42,168.42,"2,694.75",673.69,673.69,"1,936.85",842.11,,"2,357.91","4,378.97",168.42,421.06,336.84,926.32,"1,094.74",84.21,168.42,505.27,673.69,757.90,"1,010.53",168.42,168.42,336.84,252.63,84.21,505.27,757.90,"1,768.43",252.63,336.84,336.84,168.42,421.06,252.63,252.63,,84.21,"3,368.44",673.69,673.69,168.42,84.21,336.84,84.21,"1,347.38",,,,168.42,,589.48,252.63,,84.21,252.63,168.42,,589.48,336.84,168.42,,,,,84.21,,,0.00,252.63,,,"6,821.09","2,105.28","6,231.61","1,094.74","2,021.06",,,,,,,,,,,,,,"84,295.21",
,سانسو بوتاسيوم شراب 160 مل,42243,0,,,,,,,,1,,4,1,6,9,2,4,3,2,2,4,3,4,,2,1,1,2,5,,,2,0,7,,,1,2,1,2,,,5,,,,,2,1,1,,,2,,1,,1,,,2,,1,3,,-1,1,,,,2,5,,,0,0,1,,,,0,,,,,,,,,,,,,0,,,,15,4,13,12,2,,,,,,,,,,,,,,144,0
,,,0.00,,,,,,,,84.21,,336.84,84.21,505.27,757.90,168.42,336.84,252.63,168.42,168.42,336.84,252.63,336.84,,168.42,84.21,84.21,168.42,421.06,,,168.42,0.00,589.48,,,84.21,168.42,84.21,168.42,,,421.06,,,,,168.42,84.21,84.21,,,168.42,,84.21,,84.21,,,168.42,,84.21,252.63,,-84.21,84.21,,,,168.42,421.06,,,0.00,0.00,84.21,,,,0.00,,,,,,,,,,,,,0.00,,,,"1,263.17",336.84,"1,094.74","1,010.53",168.42,,,,,,,,,,,,,,"12,126.38",
,سانسو بى 12 28 قرص,42054,,40,,,,200,,8,4,9,1,3,0,1,4,4,5,6,,2,4,,2,,8,4,8,5,3,2,8,16,4,,3,5,4,9,4,,,2,,4,,,,,2,2,2,3,6,4,7,23,,2,,,1,1,2,2,,1,2,,6,2,2,2,,1,2,,,3,,,,3,2,1,1,3,4,3,,2,,,,2,,201,23,6,261,24,,,10,,,,,,,,,,,"1,006",208
,,,,"5,052.66",,,,"24,842.25",,673.69,336.84,757.90,84.21,252.63,0.00,84.21,336.84,336.84,421.06,505.27,,168.42,336.84,,168.42,,673.69,336.84,673.69,421.06,252.63,168.42,673.69,"1,347.38",336.84,,252.63,421.06,336.84,757.90,336.84,,,168.42,,336.84,,,,,168.42,168.42,168.42,252.63,505.27,336.84,589.48,"1,936.85",,168.42,,,84.21,84.21,168.42,168.42,,84.21,168.42,,505.27,168.42,168.42,168.42,,84.21,168.42,,,252.63,,,,252.63,168.42,84.21,84.21,252.63,336.84,252.63,,168.42,,,,168.42,,"21,979.07","1,936.85",505.27,"24,758.03","2,021.06",,,842.11,,,,,,,,,,,"102,232.15",
,سانسو بى تريو 14 قرص,40747,,100,,,,,,1,11,12,1,11,10,1,14,7,22,49,7,2,16,1,2,,,2,2,2,1,14,0,8,13,5,2,1,,9,5,5,,3,14,2,,,,2,2,3,1,1,,6,0,1,,,6,,2,3,,,1,,2,,1,4,5,2,,5,1,,,2,,7,,3,1,5,,,1,1,2,,,,1,,,2,24,5,339,6,,,,,,,,200,,,,,,"1,002",196
,,,,"8,350.86",,,,,,59.65,656.14,775.44,59.65,656.14,596.49,59.65,835.09,417.54,"1,431.58","3,459.64",477.19,119.30,"1,073.68",59.65,119.30,,,119.30,119.30,119.30,59.65,894.74,0.00,536.84,894.74,298.25,119.30,59.65,,596.49,357.89,298.25,,178.95,835.09,119.30,,,,119.30,119.30,178.95,59.65,59.65,,357.89,0.00,59.65,,,357.89,,119.30,178.95,,,59.65,,119.30,,59.65,238.60,357.89,119.30,,357.89,59.65,,,119.30,,477.19,,178.95,59.65,298.25,,,59.65,59.65,119.30,,,,59.65,,,119.30,"1,670.17",357.89,"27,736.79",417.54,,,,,,,,"11,929.80",,,,,,"71,459.50",
,سانسو بيبى ماء للاطفال 100 مل,22524,,55,,,,,,18,6,15,4,2,9,25,9,6,2,30,5,1,7,5,,,2,11,,,3,3,,10,19,,23,20,144,4,1,,17,0,2,16,1,3,,,1,3,,,5,5,5,4,,,,,4,32,,3,,,3,,,3,,,,,1,2,55,2,1,,,7,7,8,2,,2,2,,,4,,9,,2,94,3,,12,2,,,6,,,100,,,,,,,,867,165
,,,,"2,644.76",,,,,,710.53,236.84,592.11,157.90,78.95,355.27,"1,144.75",355.27,236.84,78.95,"1,342.12",197.37,39.47,276.32,197.37,,,78.95,434.21,,,118.42,118.42,,394.74,750.01,,"1,065.80",947.38,"7,973.75",157.90,39.47,,671.06,0.00,78.95,631.58,39.47,118.42,,,39.47,118.42,,,197.37,197.37,197.37,157.90,,,,,157.90,"1,263.17",,118.42,,,118.42,,,118.42,,,,,39.47,78.95,"2,763.18",78.95,39.47,,,276.32,276.32,315.79,78.95,,78.95,78.95,,,157.90,,355.27,,78.95,"4,263.19",118.42,,473.69,78.95,,,236.84,,,"5,921.10",,,,,,,,"40,737.17",
,سانسو بيفلكس بلس 28 قرص,31894,,,,,,,,,,,,,,,,2,3,,,,2,1,0,,,,5,,1,,,1,1,,,,,,,,,,,,1,,0,,,,,,,5,,,5,,,,,,,1,,,,-1,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,5,1,3,4,,,,,,200,,,,,,,,243,84
,,,,,,,,,,,,,,,,,,449.12,673.68,,,,449.12,224.56,0.00,,,,"1,347.37",,224.56,,,224.56,224.56,,,,,,,,,,,,224.56,,0.00,,,,,,,"1,122.81",,,"1,347.37",,,,,,,224.56,,,,-224.56,224.56,,,,224.56,,,,,,,,,224.56,,,,,,,,,,,,,,,"1,347.37",224.56,673.68,"1,122.81",,,,,,"62,877.08",,,,,,,,"73,431.45",
,سانسو جينكونا بلس 30 كبسولة,46949,,,,,,,,6,-13,2,6,1,1,10,,,2,,2,,11,,,,,6,,,,,,4,,,,,,,,,1,1,,1,,,,,,,,,1,1,,,,,,,3,3,,,,,1,,3,,,,,,,,,,1,,2,4,,,,,,,,,,,,,,7,,21,4,-3,,,,,,,,,,,,,,89,2
,,,,,,,,,,"1,136.84","-2,463.16",378.95,"1,136.84",189.47,189.47,"2,273.69",,,378.95,,378.95,,"2,084.21",,,,,"1,136.84",,,,,,757.90,,,,,,,,,189.47,189.47,,189.47,,,,,,,,,189.47,189.47,,,,,,,568.42,568.42,,,,,189.47,,568.42,,,,,,,,,,189.47,,378.95,757.90,,,,,,,,,,,,,,"1,326.32",,"3,978.95",757.90,-568.42,,,,,,,,,,,,,,"17,242.13",
,سانسو د3 بلس 28 قرص,47897,-10,213,,85,,,,53,13,10,24,14,74,66,135,215,43,125,27,97,160,18,3,4,2,19,65,15,4,19,16,33,6,15,20,16,15,57,4,4,3,2,3,9,3,3,11,20,41,35,2,19,15,70,17,17,9,25,68,4,17,9,5,3,1,5,2,11,18,207,11,11,15,12,5,,,6,5,9,4,5,1,8,,51,1,1,3,2,3,2,1,10,14,45,74,21,"4,057",134,400,,,150,,,,200,,,,,,"7,594","1,650"
